"sreg","ac_full_type","msn","body_type","type_of_big_part","ori_position","created_on","start_period","end_period","flight_cycle","flight_hour"
PK-GMY,B737-800NG,"38884",NB,APU,,2020-01-10 07:18:40,2019-12-01 00:00:00,2019-12-31 00:00:00,196,"261:00:00"
PK-GFV,B737-800NG,"38885",NB,AIRFRAME,,2019-10-30 09:03:02,2019-09-01 00:00:00,2019-09-30 00:00:00,157,"000189:47:00"
PK-GFV,B737-800NG,"38885",NB,APU,,2019-10-30 09:03:02,2019-09-01 00:00:00,2019-09-30 00:00:00,244,"000313:00:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 1,2019-10-30 09:03:02,2019-09-01 00:00:00,2019-09-30 00:00:00,137,"000158:19:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 2,2019-10-30 09:03:02,2019-09-01 00:00:00,2019-09-30 00:00:00,86,"000201:50:00"
PK-GFV,B737-800NG,"38885",NB,LG,,2019-10-30 09:03:02,2019-09-01 00:00:00,2019-09-30 00:00:00,157,"000189:47:00"
PK-GMY,B737-800NG,"38884",NB,AIRFRAME,,2019-10-30 09:59:50,2019-09-01 00:00:00,2019-09-30 00:00:00,163,"000207:21:00"
PK-GMY,B737-800NG,"38884",NB,APU,,2019-10-30 09:59:50,2019-09-01 00:00:00,2019-09-30 00:00:00,0,"0000:00:00"
PK-GMY,B737-800NG,"38884",NB,ENGINE,Pos 1,2019-10-30 09:59:50,2019-09-01 00:00:00,2019-09-30 00:00:00,121,"000210:40:00"
PK-GMY,B737-800NG,"38884",NB,ENGINE,Pos 2,2019-10-30 09:59:50,2019-09-01 00:00:00,2019-09-30 00:00:00,142,"000198:11:00"
PK-GMY,B737-800NG,"38884",NB,LG,,2019-10-30 09:59:50,2019-09-01 00:00:00,2019-09-30 00:00:00,163,"000207:21:00"
PK-GND,B737-800NG,"41794",NB,AIRFRAME,,2019-10-31 08:53:19,2019-09-01 00:00:00,2019-09-30 00:00:00,156,"000183:01:00"
PK-GND,B737-800NG,"41794",NB,ENGINE,Pos 1,2019-10-31 08:53:19,2019-09-01 00:00:00,2019-09-30 00:00:00,132,"000207:59:00"
PK-GND,B737-800NG,"41794",NB,ENGINE,Pos 2,2019-10-31 08:53:19,2019-09-01 00:00:00,2019-09-30 00:00:00,135,"000193:16:00"
PK-GND,B737-800NG,"41794",NB,APU,,2019-10-31 08:53:19,2019-09-01 00:00:00,2019-09-30 00:00:00,112,"000174:00:00"
PK-GNH,B737-800NG,"40547",NB,AIRFRAME,,2020-02-26 17:29:49,2020-01-01 00:00:00,2020-01-31 00:00:00,130,"160:27:00"
PK-GNH,B737-800NG,"40547",NB,APU,,2020-02-26 17:29:49,2020-01-01 00:00:00,2020-01-31 00:00:00,245,"346:00:00"
PK-GNH,B737-800NG,"40547",NB,LG,,2020-02-26 17:29:49,2020-01-01 00:00:00,2020-01-31 00:00:00,130,"160:27:00"
PK-GNH,B737-800NG,"40547",NB,ENGINE,Pos 1,2020-02-26 17:29:49,2020-01-01 00:00:00,2020-01-31 00:00:00,129,"244:48:00"
PK-GNH,B737-800NG,"40547",NB,ENGINE,Pos 2,2020-02-26 17:29:49,2020-01-01 00:00:00,2020-01-31 00:00:00,143,"245:50:00"
PK-GAE,ATR72-600,"1149",NB,AIRFRAME,,2020-02-27 14:02:51,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAE,ATR72-600,"1149",NB,ENGINE,Pos 1,2020-02-27 14:02:51,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GND,B737-800NG,"41794",NB,LG,,2019-10-31 08:53:19,2019-09-01 00:00:00,2019-09-30 00:00:00,156,"000183:01:00"
PK-GNJ,B737-800NG,"41796",NB,AIRFRAME,,2019-10-31 09:18:22,2019-09-01 00:00:00,2019-09-30 00:00:00,150,"000187:11:00"
PK-GNJ,B737-800NG,"41796",NB,ENGINE,Pos 1,2019-10-31 09:18:22,2019-09-01 00:00:00,2019-09-30 00:00:00,140,"000216:15:00"
PK-GNJ,B737-800NG,"41796",NB,ENGINE,Pos 2,2019-10-31 09:18:22,2019-09-01 00:00:00,2019-09-30 00:00:00,156,"000194:22:00"
PK-GNJ,B737-800NG,"41796",NB,APU,,2019-10-31 09:18:22,2019-09-01 00:00:00,2019-09-30 00:00:00,266,"000365:00:00"
PK-GNJ,B737-800NG,"41796",NB,LG,,2019-10-31 09:18:22,2019-09-01 00:00:00,2019-09-30 00:00:00,150,"000187:11:00"
PK-GAE,ATR72-600,"1149",NB,AIRFRAME,,2020-01-21 10:30:01,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"00000:00:00"
PK-GAE,ATR72-600,"1149",NB,ENGINE,Pos 1,2020-01-21 10:30:01,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"00000:00:00"
PK-GAE,ATR72-600,"1149",NB,ENGINE,Pos 2,2020-01-21 10:30:01,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"00000:00:00"
PK-GAE,ATR72-600,"1149",NB,N-LG,,2020-01-21 10:30:01,2019-11-01 00:00:00,2019-11-30 00:00:00,34,"016:26:00"
PK-GAE,ATR72-600,"1149",NB,RH-LG,,2020-01-21 10:30:01,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"00000:00:00"
PK-GNO,B737-800NG,"41800",NB,AIRFRAME,,2019-11-15 03:56:12,2019-09-01 00:00:00,2019-09-30 00:00:00,156,"194:22:00"
PK-GNO,B737-800NG,"41800",NB,APU,,2019-11-15 03:56:12,2019-09-01 00:00:00,2019-09-30 00:00:00,209,"297:00:00"
PK-GNO,B737-800NG,"41800",NB,LG,,2019-11-15 03:56:12,2019-09-01 00:00:00,2019-09-30 00:00:00,156,"194:22:00"
PK-GNO,B737-800NG,"41800",NB,ENGINE,Pos 1,2019-11-15 03:56:12,2019-09-01 00:00:00,2019-09-30 00:00:00,152,"176:12:00"
PK-GNO,B737-800NG,"41800",NB,ENGINE,Pos 2,2019-11-15 03:56:12,2019-09-01 00:00:00,2019-09-30 00:00:00,150,"181:42:00"
PK-GNO,B737-800NG,"41800",NB,AIRFRAME,,2019-11-15 04:02:33,2019-10-01 00:00:00,2019-10-31 00:00:00,173,"194:21:00"
PK-GNO,B737-800NG,"41800",NB,APU,,2019-11-15 04:02:33,2019-10-01 00:00:00,2019-10-31 00:00:00,0,"000:00:00"
PK-GNO,B737-800NG,"41800",NB,LG,,2019-11-15 04:02:33,2019-10-01 00:00:00,2019-10-31 00:00:00,173,"194:21:00"
PK-GNO,B737-800NG,"41800",NB,ENGINE,Pos 1,2019-11-15 04:02:33,2019-10-01 00:00:00,2019-10-31 00:00:00,174,"193:04:00"
PK-GNO,B737-800NG,"41800",NB,ENGINE,Pos 2,2019-11-15 04:02:33,2019-10-01 00:00:00,2019-10-31 00:00:00,172,"221:21:00"
PK-GND,B737-800NG,"41794",NB,AIRFRAME,,2019-11-15 04:15:27,2019-10-01 00:00:00,2019-10-31 00:00:00,124,"146:29:00"
PK-GND,B737-800NG,"41794",NB,ENGINE,Pos 1,2019-11-15 04:15:27,2019-10-01 00:00:00,2019-10-31 00:00:00,129,"228:46:00"
PK-GND,B737-800NG,"41794",NB,ENGINE,Pos 2,2019-11-15 04:15:27,2019-10-01 00:00:00,2019-10-31 00:00:00,132,"242:36:00"
PK-GND,B737-800NG,"41794",NB,APU,,2019-11-15 04:15:27,2019-10-01 00:00:00,2019-10-31 00:00:00,293,"408:00:00"
PK-GND,B737-800NG,"41794",NB,LG,,2019-11-15 04:15:27,2019-10-01 00:00:00,2019-10-31 00:00:00,124,"146:29:00"
PK-GNJ,B737-800NG,"41796",NB,AIRFRAME,,2019-11-15 04:25:15,2019-10-01 00:00:00,2019-10-31 00:00:00,160,"189:10:00"
PK-GNJ,B737-800NG,"41796",NB,ENGINE,Pos 1,2019-11-15 04:25:15,2019-10-01 00:00:00,2019-10-31 00:00:00,140,"250:10:00"
PK-GNJ,B737-800NG,"41796",NB,ENGINE,Pos 2,2019-11-15 04:25:15,2019-10-01 00:00:00,2019-10-31 00:00:00,173,"194:21:00"
PK-GNJ,B737-800NG,"41796",NB,APU,,2019-11-15 04:25:15,2019-10-01 00:00:00,2019-10-31 00:00:00,211,"293:00:00"
PK-GNJ,B737-800NG,"41796",NB,LG,,2019-11-15 04:25:15,2019-10-01 00:00:00,2019-10-31 00:00:00,160,"189:10:00"
PK-GFV,B737-800NG,"38885",NB,AIRFRAME,,2019-11-15 04:29:15,2019-10-01 00:00:00,2019-10-31 00:00:00,132,"155:26:00"
PK-GFV,B737-800NG,"38885",NB,APU,,2019-11-15 04:29:15,2019-10-01 00:00:00,2019-10-31 00:00:00,67,"088:00:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 1,2019-11-15 04:29:15,2019-10-01 00:00:00,2019-10-31 00:00:00,170,"200:26:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 2,2019-11-15 04:29:15,2019-10-01 00:00:00,2019-10-31 00:00:00,122,"248:53:00"
PK-GFV,B737-800NG,"38885",NB,LG,,2019-11-15 04:29:15,2019-10-01 00:00:00,2019-10-31 00:00:00,132,"155:26:00"
PK-GMY,B737-800NG,"38884",NB,AIRFRAME,,2019-11-15 04:34:45,2019-10-01 00:00:00,2019-10-31 00:00:00,184,"210:57:00"
PK-GMY,B737-800NG,"38884",NB,APU,,2019-11-15 04:34:45,2019-10-01 00:00:00,2019-10-31 00:00:00,197,"242:00:00"
PK-GMY,B737-800NG,"38884",NB,ENGINE,Pos 1,2019-11-15 04:34:45,2019-10-01 00:00:00,2019-10-31 00:00:00,140,"254:29:00"
PK-GMY,B737-800NG,"38884",NB,ENGINE,Pos 2,2019-11-15 04:34:45,2019-10-01 00:00:00,2019-10-31 00:00:00,83,"147:41:00"
PK-GMY,B737-800NG,"38884",NB,LG,,2019-11-15 04:34:45,2019-10-01 00:00:00,2019-10-31 00:00:00,184,"210:57:00"
PK-GAE,ATR72-600,"1149",NB,PROPELLER,,2020-01-21 10:30:01,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"00000:00:00"
PK-GAE,ATR72-600,"1149",NB,AIRFRAME,,2020-01-21 10:39:20,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAE,ATR72-600,"1149",NB,ENGINE,Pos 1,2020-01-21 10:39:20,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAE,ATR72-600,"1149",NB,ENGINE,Pos 2,2020-01-21 10:39:20,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,AIRFRAME,,2020-01-07 14:15:45,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,ENGINE,Pos 1,2020-01-07 14:15:45,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,ENGINE,Pos 2,2020-01-07 14:15:45,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,LG,,2020-01-07 14:15:45,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,PROPELLER,,2020-01-07 14:15:45,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GMY,B737-800NG,"38884",NB,ENGINE,Pos 1,2020-01-10 07:18:40,2019-12-01 00:00:00,2019-12-31 00:00:00,127,"182:02:00"
PK-GMY,B737-800NG,"38884",NB,ENGINE,Pos 2,2020-01-10 07:18:40,2019-12-01 00:00:00,2019-12-31 00:00:00,84,"173:38:00"
PK-GMY,B737-800NG,"38884",NB,LG,,2020-01-10 07:18:40,2019-12-01 00:00:00,2019-12-31 00:00:00,167,"198:32:00"
PK-GPV,Airbus 330-300,"1577",WB,AIRFRAME,,2019-12-09 06:18:57,2019-10-01 00:00:00,2019-10-31 00:00:00,53,"232:52:00"
PK-GPV,Airbus 330-300,"1577",WB,APU,,2019-12-09 06:18:57,2019-10-01 00:00:00,2019-10-31 00:00:00,21,"021:00:00"
PK-GPV,Airbus 330-300,"1577",WB,LG,,2019-12-09 06:18:57,2019-10-01 00:00:00,2019-10-31 00:00:00,53,"232:52:00"
PK-GPV,Airbus 330-300,"1577",WB,ENGINE,Pos 1,2019-12-09 06:18:57,2019-10-01 00:00:00,2019-10-31 00:00:00,53,"232:52:00"
PK-GPV,Airbus 330-300,"1577",WB,ENGINE,Pos 2,2019-12-09 06:18:57,2019-10-01 00:00:00,2019-10-31 00:00:00,18,"064:19:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,AIRFRAME,,2019-12-25 10:41:44,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"000:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,APU,,2019-12-25 10:41:44,2019-11-01 00:00:00,2019-11-30 00:00:00,131,"145:00:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,ENGINE,Pos 1,2019-12-25 10:41:44,2019-11-01 00:00:00,2019-11-30 00:00:00,131,"130:10:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,ENGINE,Pos 2,2019-12-25 10:41:44,2019-11-01 00:00:00,2019-11-30 00:00:00,58,"078:52:00"
PK-GRL,Bombardier-CRJ-1000,"19034",NB,LG,,2019-12-25 10:41:44,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"000:00:00"
PK-GAE,ATR72-600,"1149",NB,N-LG,,2020-01-21 10:39:20,2019-12-01 00:00:00,2019-12-31 00:00:00,66,"030:11:00"
PK-GAE,ATR72-600,"1149",NB,RH-LG,,2020-01-21 10:39:20,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAE,ATR72-600,"1149",NB,PROPELLER,,2020-01-21 10:39:20,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GPV,Airbus 330-300,"1577",WB,AIRFRAME,,2019-12-09 06:18:57,2019-11-01 00:00:00,2019-11-30 00:00:00,57,"209:12:00"
PK-GPV,Airbus 330-300,"1577",WB,APU,,2019-12-09 06:18:57,2019-11-01 00:00:00,2019-11-30 00:00:00,78,"116:00:00"
PK-GPV,Airbus 330-300,"1577",WB,LG,,2019-12-09 06:18:57,2019-11-01 00:00:00,2019-11-30 00:00:00,57,"209:12:00"
PK-GPV,Airbus 330-300,"1577",WB,ENGINE,Pos 1,2019-12-09 06:18:57,2019-11-01 00:00:00,2019-11-30 00:00:00,57,"209:12:00"
PK-GPV,Airbus 330-300,"1577",WB,ENGINE,Pos 2,2019-12-09 06:18:57,2019-11-01 00:00:00,2019-11-30 00:00:00,50,"116:25:00"
PK-GAH,ATR72-600,"1181",NB,AIRFRAME,,2020-01-07 14:27:23,2019-12-01 00:00:00,2019-12-31 00:00:00,56,"090:29:00"
PK-GAH,ATR72-600,"1181",NB,ENGINE,Pos 1,2020-01-07 14:27:23,2019-12-01 00:00:00,2019-12-31 00:00:00,56,"090:29:00"
PK-GAH,ATR72-600,"1181",NB,ENGINE,Pos 2,2020-01-07 14:27:23,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GFV,B737-800NG,"38885",NB,AIRFRAME,,2020-02-07 16:10:36,2020-01-01 00:00:00,2020-01-31 00:00:00,167,"195:32:00"
PK-GFV,B737-800NG,"38885",NB,APU,,2020-02-07 16:10:36,2020-01-01 00:00:00,2020-01-31 00:00:00,111,"156:00:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 1,2020-02-07 16:10:36,2020-01-01 00:00:00,2020-01-31 00:00:00,165,"196:23:00"
PK-GAH,ATR72-600,"1181",NB,LG,,2020-01-07 14:27:23,2019-12-01 00:00:00,2019-12-31 00:00:00,56,"090:29:00"
PK-GAH,ATR72-600,"1181",NB,PROPELLER,,2020-01-07 14:27:23,2019-12-01 00:00:00,2019-12-31 00:00:00,56,"090:29:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,AIRFRAME,,2019-12-25 11:19:58,2019-11-01 00:00:00,2019-11-30 00:00:00,79,"110:51:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,APU,,2019-12-25 11:19:58,2019-11-01 00:00:00,2019-11-30 00:00:00,142,"149:00:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,ENGINE,Pos 1,2019-12-25 11:19:58,2019-11-01 00:00:00,2019-11-30 00:00:00,79,"110:51:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,ENGINE,Pos 2,2019-12-25 11:19:58,2019-11-01 00:00:00,2019-11-30 00:00:00,79,"110:51:00"
PK-GRO,Bombardier-CRJ-1000,"19038",NB,LG,,2019-12-25 11:19:58,2019-11-01 00:00:00,2019-11-30 00:00:00,79,"110:51:00"
PK-GFP,B737-800NG,"38821",NB,AIRFRAME,,2020-01-10 07:21:50,2019-12-01 00:00:00,2019-12-31 00:00:00,139,"249:11:00"
PK-GFP,B737-800NG,"38821",NB,APU,,2020-01-10 07:21:50,2019-12-01 00:00:00,2019-12-31 00:00:00,92,"114:00:00"
PK-GFP,B737-800NG,"38821",NB,ENGINE,Pos 1,2020-01-10 07:21:50,2019-12-01 00:00:00,2019-12-31 00:00:00,141,"257:19:00"
PK-GFP,B737-800NG,"38821",NB,ENGINE,Pos 2,2020-01-10 07:21:50,2019-12-01 00:00:00,2019-12-31 00:00:00,192,"213:38:00"
PK-GFP,B737-800NG,"38821",NB,LG,,2020-01-10 07:21:50,2019-12-01 00:00:00,2019-12-31 00:00:00,139,"249:11:00"
PK-GAI,ATR72-600,"1191",NB,AIRFRAME,,2020-01-07 14:53:47,2019-12-01 00:00:00,2019-12-31 00:00:00,28,"017:20:00"
PK-GAI,ATR72-600,"1191",NB,ENGINE,Pos 1,2020-01-07 14:53:47,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAI,ATR72-600,"1191",NB,ENGINE,Pos 2,2020-01-07 14:53:47,2019-12-01 00:00:00,2019-12-31 00:00:00,229,"157:40:00"
PK-GAI,ATR72-600,"1191",NB,LG,,2020-01-07 14:53:47,2019-12-01 00:00:00,2019-12-31 00:00:00,28,"017:20:00"
PK-GAI,ATR72-600,"1191",NB,PROPELLER,,2020-01-07 14:53:47,2019-12-01 00:00:00,2019-12-31 00:00:00,28,"017:20:00"
PK-GND,B737-800NG,"41794",NB,AIRFRAME,,2020-01-10 07:31:53,2019-12-01 00:00:00,2019-12-31 00:00:00,154,"161:11:00"
PK-GND,B737-800NG,"41794",NB,ENGINE,Pos 1,2020-01-10 07:31:53,2019-12-01 00:00:00,2019-12-31 00:00:00,130,"246:46:00"
PK-GND,B737-800NG,"41794",NB,ENGINE,Pos 2,2020-01-10 07:31:53,2019-12-01 00:00:00,2019-12-31 00:00:00,141,"239:52:00"
PK-GND,B737-800NG,"41794",NB,APU,,2020-01-10 07:31:53,2019-12-01 00:00:00,2019-12-31 00:00:00,138,"192:00:00"
PK-GND,B737-800NG,"41794",NB,LG,,2020-01-10 07:31:53,2019-12-01 00:00:00,2019-12-31 00:00:00,154,"161:11:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 2,2020-02-07 16:10:36,2020-01-01 00:00:00,2020-01-31 00:00:00,131,"231:37:00"
PK-GFV,B737-800NG,"38885",NB,LG,,2020-02-07 16:10:36,2020-01-01 00:00:00,2020-01-31 00:00:00,167,"195:32:00"
PK-GIA,Boeing 777-300ER,"40074",WB,AIRFRAME,,2020-02-22 07:55:27,2020-01-01 00:00:00,2020-01-31 00:00:00,53,"387:46:00"
PK-GIA,Boeing 777-300ER,"40074",WB,APU,,2020-02-22 07:55:27,2020-01-01 00:00:00,2020-01-31 00:00:00,76,"139:00:00"
PK-GIA,Boeing 777-300ER,"40074",WB,ENGINE,Pos 1,2020-02-22 07:55:27,2020-01-01 00:00:00,2020-01-31 00:00:00,53,"387:46:00"
PK-GIA,Boeing 777-300ER,"40074",WB,ENGINE,Pos 2,2020-02-22 07:55:27,2020-01-01 00:00:00,2020-01-31 00:00:00,53,"393:35:00"
PK-GIA,Boeing 777-300ER,"40074",WB,LG,,2020-02-22 07:55:27,2020-01-01 00:00:00,2020-01-31 00:00:00,53,"387:46:00"
PK-GMC,B737-800NG,"30155",NB,AIRFRAME,,2020-02-26 14:57:47,2019-11-01 00:00:00,2019-11-30 00:00:00,102,"211:22:00"
PK-GNJ,B737-800NG,"41796",NB,AIRFRAME,,2020-01-10 07:34:48,2019-12-01 00:00:00,2019-12-31 00:00:00,184,"202:44:00"
PK-GNJ,B737-800NG,"41796",NB,ENGINE,Pos 1,2020-01-10 07:34:48,2019-12-01 00:00:00,2019-12-31 00:00:00,118,"248:37:00"
PK-GNJ,B737-800NG,"41796",NB,ENGINE,Pos 2,2020-01-10 07:34:48,2019-12-01 00:00:00,2019-12-31 00:00:00,164,"177:38:00"
PK-GNJ,B737-800NG,"41796",NB,APU,,2020-01-10 07:34:48,2019-12-01 00:00:00,2019-12-31 00:00:00,207,"294:00:00"
PK-GNJ,B737-800NG,"41796",NB,LG,,2020-01-10 07:34:48,2019-12-01 00:00:00,2019-12-31 00:00:00,184,"202:44:00"
PK-GNK,B737-800NG,"41798",NB,AIRFRAME,,2020-01-10 07:38:16,2019-12-01 00:00:00,2019-12-31 00:00:00,163,"179:41:00"
PK-GNK,B737-800NG,"41798",NB,APU,,2020-01-10 07:38:16,2019-12-01 00:00:00,2019-12-31 00:00:00,118,"169:00:00"
PK-GNK,B737-800NG,"41798",NB,LG,,2020-01-10 07:38:16,2019-12-01 00:00:00,2019-12-31 00:00:00,163,"179:41:00"
PK-GNK,B737-800NG,"41798",NB,ENGINE,Pos 1,2020-01-10 07:38:16,2019-12-01 00:00:00,2019-12-31 00:00:00,138,"263:35:00"
PK-GNK,B737-800NG,"41798",NB,ENGINE,Pos 2,2020-01-10 07:38:16,2019-12-01 00:00:00,2019-12-31 00:00:00,167,"198:32:00"
PK-GNP,B737-800NG,"41605",NB,AIRFRAME,,2019-12-18 07:52:17,2019-11-01 00:00:00,2019-11-30 00:00:00,143,"257:27:00"
PK-GNP,B737-800NG,"41605",NB,APU,,2019-12-18 07:52:17,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"000:00:00"
PK-GNP,B737-800NG,"41605",NB,LG,,2019-12-18 07:52:17,2019-11-01 00:00:00,2019-11-30 00:00:00,143,"257:27:00"
PK-GNP,B737-800NG,"41605",NB,ENGINE,Pos 1,2019-12-18 07:52:17,2019-11-01 00:00:00,2019-11-30 00:00:00,117,"176:25:00"
PK-GNP,B737-800NG,"41605",NB,ENGINE,Pos 2,2019-12-18 07:52:17,2019-11-01 00:00:00,2019-11-30 00:00:00,166,"184:43:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,AIRFRAME,,2019-12-25 11:34:29,2019-11-01 00:00:00,2019-11-30 00:00:00,63,"094:51:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,APU,,2019-12-25 11:34:29,2019-11-01 00:00:00,2019-11-30 00:00:00,137,"137:00:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,ENGINE,Pos 1,2019-12-25 11:34:29,2019-11-01 00:00:00,2019-11-30 00:00:00,63,"094:51:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,ENGINE,Pos 2,2019-12-25 11:34:29,2019-11-01 00:00:00,2019-11-30 00:00:00,63,"094:51:00"
